"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3619","resetPasswordWithInvalideEmail","QASE UI Suite1","Fri Apr 17 20:01:09 UTC 2026","passed","Fri Apr 17 20:01:13 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithInvalideEmail"
"Проверка успешного создания аккаунта через Email","2348","checkSignUpWithInvalidPassword","QASE UI Suite1","Fri Apr 17 20:01:00 UTC 2026","passed","Fri Apr 17 20:01:02 UTC 2026","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidPassword"
"","1853","goToLoginPage","QASE UI Suite1","Fri Apr 17 20:01:14 UTC 2026","passed","Fri Apr 17 20:01:16 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","goToLoginPage"
"","3896","resetPasswordWithValideEmail","QASE UI Suite1","Fri Apr 17 20:01:05 UTC 2026","passed","Fri Apr 17 20:01:09 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithValideEmail"
"","1660","resetPasswordWithEmptyEmail","QASE UI Suite1","Fri Apr 17 20:01:13 UTC 2026","passed","Fri Apr 17 20:01:14 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithEmptyEmail"
"Проверка успешного создания аккаунта через Email","2523","checkSignUpWithInvalidConfirmPassword","QASE UI Suite1","Fri Apr 17 20:01:02 UTC 2026","passed","Fri Apr 17 20:01:05 UTC 2026","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidConfirmPassword"
"Проверка успешного создания аккаунта через Email","3347","checkSignUpWithInvalidEmail","QASE UI Suite1","Fri Apr 17 20:00:56 UTC 2026","passed","Fri Apr 17 20:01:00 UTC 2026","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidEmail"
