"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2139","resetPasswordWithValideEmail","QASE UI Suite1","Fri Jul 25 19:25:49 GMT 2025","passed","Fri Jul 25 19:25:51 GMT 2025","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithValideEmail"
"","1340","resetPasswordWithEmptyEmail","QASE UI Suite1","Fri Jul 25 19:25:53 GMT 2025","passed","Fri Jul 25 19:25:54 GMT 2025","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithEmptyEmail"
"","1258","goToLoginPage","QASE UI Suite1","Fri Jul 25 19:25:54 GMT 2025","passed","Fri Jul 25 19:25:56 GMT 2025","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","goToLoginPage"
"Проверка успешного создания аккаунта через Email","1654","checkSignUpWithInvalidConfirmPassword","QASE UI Suite1","Fri Jul 25 19:25:47 GMT 2025","passed","Fri Jul 25 19:25:49 GMT 2025","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidConfirmPassword"
"Проверка успешного создания аккаунта через Email","6780","checkSignUpWithInvalidEmail","QASE UI Suite1","Fri Jul 25 19:25:38 GMT 2025","passed","Fri Jul 25 19:25:45 GMT 2025","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidEmail"
"Проверка успешного создания аккаунта через Email","1693","checkSignUpWithInvalidPassword","QASE UI Suite1","Fri Jul 25 19:25:45 GMT 2025","passed","Fri Jul 25 19:25:47 GMT 2025","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidPassword"
"","1687","resetPasswordWithInvalideEmail","QASE UI Suite1","Fri Jul 25 19:25:51 GMT 2025","passed","Fri Jul 25 19:25:53 GMT 2025","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithInvalideEmail"
