"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1655","resetPasswordWithInvalideEmail","QASE UI Suite1","Fri Feb 27 19:41:27 UTC 2026","passed","Fri Feb 27 19:41:29 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithInvalideEmail"
"","1177","resetPasswordWithEmptyEmail","QASE UI Suite1","Fri Feb 27 19:41:29 UTC 2026","passed","Fri Feb 27 19:41:30 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithEmptyEmail"
"","1365","goToLoginPage","QASE UI Suite1","Fri Feb 27 19:41:30 UTC 2026","passed","Fri Feb 27 19:41:31 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","goToLoginPage"
"","2113","resetPasswordWithValideEmail","QASE UI Suite1","Fri Feb 27 19:41:25 UTC 2026","passed","Fri Feb 27 19:41:27 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithValideEmail"
"Проверка успешного создания аккаунта через Email","8436","checkSignUpWithInvalidEmail","QASE UI Suite1","Fri Feb 27 19:41:12 UTC 2026","passed","Fri Feb 27 19:41:20 UTC 2026","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidEmail"
"Проверка успешного создания аккаунта через Email","2020","checkSignUpWithInvalidConfirmPassword","QASE UI Suite1","Fri Feb 27 19:41:23 UTC 2026","passed","Fri Feb 27 19:41:25 UTC 2026","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidConfirmPassword"
"Проверка успешного создания аккаунта через Email","2088","checkSignUpWithInvalidPassword","QASE UI Suite1","Fri Feb 27 19:41:21 UTC 2026","passed","Fri Feb 27 19:41:23 UTC 2026","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidPassword"
