"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2387","resetPasswordWithValideEmail","QASE UI Suite1","Fri Sep 19 19:21:34 UTC 2025","passed","Fri Sep 19 19:21:36 UTC 2025","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithValideEmail"
"","1557","resetPasswordWithEmptyEmail","QASE UI Suite1","Fri Sep 19 19:21:39 UTC 2025","passed","Fri Sep 19 19:21:40 UTC 2025","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithEmptyEmail"
"","1584","goToLoginPage","QASE UI Suite1","Fri Sep 19 19:21:40 UTC 2025","passed","Fri Sep 19 19:21:42 UTC 2025","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","goToLoginPage"
"Проверка успешного создания аккаунта через Email","9732","checkSignUpWithInvalidEmail","QASE UI Suite1","Fri Sep 19 19:21:20 UTC 2025","passed","Fri Sep 19 19:21:30 UTC 2025","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidEmail"
"Проверка успешного создания аккаунта через Email","1976","checkSignUpWithInvalidConfirmPassword","QASE UI Suite1","Fri Sep 19 19:21:32 UTC 2025","passed","Fri Sep 19 19:21:34 UTC 2025","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidConfirmPassword"
"","2171","resetPasswordWithInvalideEmail","QASE UI Suite1","Fri Sep 19 19:21:36 UTC 2025","passed","Fri Sep 19 19:21:39 UTC 2025","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithInvalideEmail"
"Проверка успешного создания аккаунта через Email","2067","checkSignUpWithInvalidPassword","QASE UI Suite1","Fri Sep 19 19:21:30 UTC 2025","passed","Fri Sep 19 19:21:32 UTC 2025","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidPassword"
