"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного создания аккаунта через Email","17854","checkSignUpWithInvalidPassword","QASE UI Suite1","2026-08-14","failed","2026-08-14","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidPassword"
"","2049","resetPasswordWithInvalideEmail","QASE UI Suite1","2026-08-14","passed","2026-08-14","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithInvalideEmail"
"","1576","resetPasswordWithEmptyEmail","QASE UI Suite1","2026-08-14","passed","2026-08-14","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithEmptyEmail"
"Проверка успешного создания аккаунта через Email","19116","checkSignUpWithInvalidEmail","QASE UI Suite1","2026-08-14","passed","2026-08-14","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidEmail"
"","1796","goToLoginPage","QASE UI Suite1","2026-08-14","passed","2026-08-14","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","goToLoginPage"
"Проверка успешного создания аккаунта через Email","2454","checkSignUpWithInvalidConfirmPassword","QASE UI Suite1","2026-08-14","passed","2026-08-14","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidConfirmPassword"
"","2491","resetPasswordWithValideEmail","QASE UI Suite1","2026-08-14","passed","2026-08-14","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithValideEmail"
