"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","","3","0","","0"
"0","Форма добавления аккаунта","0","Создание нового аккаунта","1","0","Создание аккаунта с некорректным Confirm password","0"
"0","Форма добавления аккаунта","0","Создание нового аккаунта","1","0","Создание аккаунта с некорректным Email","0"
"0","Форма добавления аккаунта","0","Создание нового аккаунта","1","0","Создание аккаунта с некорректным Password","0"
