"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","5","","15","0","","0"
"0","Форма добавления аккаунта","0","Создание нового аккаунта","1","0","Создание аккаунта с некорректным Email","0"
"0","Форма добавления аккаунта","0","Создание нового аккаунта","1","0","Создание аккаунта с некорректным Password","0"
"0","Проект","1","Открытие формы создания тест-кейса","0","0","Отображение формы тест-кейса","0"
"0","Проект","1","Отмена создания тест-кейса","0","0","Отображение закрытия формы создания тест-кейса","0"
"0","Форма добавления аккаунта","0","Создание нового аккаунта","1","0","Создание аккаунта с некорректным Confirm password","0"
