"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1293","goToLoginPage","QASE UI Suite1","2026-07-03","passed","2026-07-03","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","goToLoginPage"
"Проверка успешного создания аккаунта через Email","17560","checkSignUpWithInvalidPassword","QASE UI Suite1","2026-07-03","failed","2026-07-03","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidPassword"
"","1255","resetPasswordWithEmptyEmail","QASE UI Suite1","2026-07-03","passed","2026-07-03","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithEmptyEmail"
"","2073","resetPasswordWithValideEmail","QASE UI Suite1","2026-07-03","passed","2026-07-03","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithValideEmail"
"Проверка успешного создания аккаунта через Email","2155","checkSignUpWithInvalidConfirmPassword","QASE UI Suite1","2026-07-03","passed","2026-07-03","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidConfirmPassword"
"","1614","resetPasswordWithInvalideEmail","QASE UI Suite1","2026-07-03","passed","2026-07-03","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithInvalideEmail"
"Проверка успешного создания аккаунта через Email","9083","checkSignUpWithInvalidEmail","QASE UI Suite1","2026-07-03","passed","2026-07-03","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidEmail"
