"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1749","resetPasswordWithInvalideEmail","QASE UI Suite1","Fri Mar 20 19:43:04 UTC 2026","passed","Fri Mar 20 19:43:06 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithInvalideEmail"
"Проверка успешного создания аккаунта через Email","9166","checkSignUpWithInvalidEmail","QASE UI Suite1","Fri Mar 20 19:42:49 UTC 2026","passed","Fri Mar 20 19:42:58 UTC 2026","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidEmail"
"Проверка успешного создания аккаунта через Email","2069","checkSignUpWithInvalidPassword","QASE UI Suite1","Fri Mar 20 19:42:58 UTC 2026","passed","Fri Mar 20 19:43:00 UTC 2026","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidPassword"
"","1168","goToLoginPage","QASE UI Suite1","Fri Mar 20 19:43:07 UTC 2026","passed","Fri Mar 20 19:43:09 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","goToLoginPage"
"Проверка успешного создания аккаунта через Email","1918","checkSignUpWithInvalidConfirmPassword","QASE UI Suite1","Fri Mar 20 19:43:00 UTC 2026","passed","Fri Mar 20 19:43:02 UTC 2026","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidConfirmPassword"
"","1947","resetPasswordWithValideEmail","QASE UI Suite1","Fri Mar 20 19:43:02 UTC 2026","passed","Fri Mar 20 19:43:04 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithValideEmail"
"","980","resetPasswordWithEmptyEmail","QASE UI Suite1","Fri Mar 20 19:43:06 UTC 2026","passed","Fri Mar 20 19:43:07 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithEmptyEmail"
