"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного создания аккаунта через Email","2185","checkSignUpWithInvalidConfirmPassword","QASE UI Suite1","Fri May 15 20:21:39 UTC 2026","passed","Fri May 15 20:21:41 UTC 2026","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidConfirmPassword"
"","2955","resetPasswordWithInvalideEmail","QASE UI Suite1","Fri May 15 20:21:44 UTC 2026","passed","Fri May 15 20:21:47 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithInvalideEmail"
"","2339","resetPasswordWithValideEmail","QASE UI Suite1","Fri May 15 20:21:41 UTC 2026","passed","Fri May 15 20:21:44 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithValideEmail"
"","1389","resetPasswordWithEmptyEmail","QASE UI Suite1","Fri May 15 20:21:47 UTC 2026","passed","Fri May 15 20:21:48 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithEmptyEmail"
"Проверка успешного создания аккаунта через Email","17829","checkSignUpWithInvalidPassword","QASE UI Suite1","Fri May 15 20:21:21 UTC 2026","failed","Fri May 15 20:21:39 UTC 2026","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidPassword"
"Проверка успешного создания аккаунта через Email","9440","checkSignUpWithInvalidEmail","QASE UI Suite1","Fri May 15 20:21:11 UTC 2026","passed","Fri May 15 20:21:21 UTC 2026","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidEmail"
"","1445","goToLoginPage","QASE UI Suite1","Fri May 15 20:21:48 UTC 2026","passed","Fri May 15 20:21:50 UTC 2026","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","goToLoginPage"
