"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2093","resetPasswordWithInvalideEmail","QASE UI Suite1","2026-06-05","passed","2026-06-05","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithInvalideEmail"
"","1468","resetPasswordWithEmptyEmail","QASE UI Suite1","2026-06-05","passed","2026-06-05","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithEmptyEmail"
"Проверка успешного создания аккаунта через Email","2417","checkSignUpWithInvalidConfirmPassword","QASE UI Suite1","2026-06-05","passed","2026-06-05","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidConfirmPassword"
"","2436","resetPasswordWithValideEmail","QASE UI Suite1","2026-06-05","passed","2026-06-05","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithValideEmail"
"","1640","goToLoginPage","QASE UI Suite1","2026-06-05","passed","2026-06-05","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","goToLoginPage"
"Проверка успешного создания аккаунта через Email","8000","checkSignUpWithInvalidEmail","QASE UI Suite1","2026-06-05","passed","2026-06-05","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidEmail"
"Проверка успешного создания аккаунта через Email","17336","checkSignUpWithInvalidPassword","QASE UI Suite1","2026-06-05","failed","2026-06-05","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidPassword"
